LGANAME,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041
ALBURY CITY,45265,45816,46180,46505,47004,47566,48140,48518,48814,49222,49451,49785,50338,50990,51486,52171,53056,53922,54657,55466,56067,56952,58178,59348,60419,61505,62567,63622,64668,65706,66736,67758,68772,69780,70780,71772,72756,73733,74703,75667,76624
ARMIDALE REGIONAL,27906,27774,27610,27410,27350,27377,27468,27788,28156,28409,28573,28748,28895,29015,29160,29310,29519,29631,29701,29600,29332,29303,29350,29399,29441,29490,29535,29577,29618,29657,29695,29731,29766,29799,29831,29861,29890,29917,29943,29968,29992
BALLINA,37856,38417,38870,39120,39305,39537,39824,40020,40295,40571,40747,41118,41510,41881,42336,42993,43652,44385,44997,45663,46196,45972,46343,46728,47061,47446,47793,48128,48450,48758,49055,49339,49611,49872,50121,50358,50584,50799,51002,51196,51380
BALRANALD,2751,2703,2661,2596,2545,2507,2473,2433,2404,2381,2353,2363,2381,2376,2364,2330,2338,2308,2287,2257,2208,2205,2207,2210,2212,2215,2218,2220,2222,2224,2227,2229,2231,2233,2234,2236,2238,2240,2241,2243,2244
BATHURST REGIONAL,35504,35831,36084,36245,36547,36916,37272,37904,38848,39484,39960,40301,40727,41157,41694,42244,42583,42882,43207,43444,43674,43703,44217,44781,45307,45874,46404,46914,47403,47872,48324,48759,49178,49583,49975,50354,50720,51074,51417,51749,52072
BAYSIDE,129075,129377,130598,131144,132112,133205,135831,139556,142527,144295,144985,148028,151309,154980,159222,164534,168779,171377,173913,176184,176229,177040,180924,183822,185901,188521,191026,193387,195660,198279,201115,204162,207268,210054,213065,215974,218980,222212,225981,229456,233268
BEGA VALLEY,30425,30790,31056,31406,31608,31829,32183,32367,32620,32962,33128,33288,33430,33562,33713,33941,34287,34674,35026,35428,35770,35948,36252,36535,36782,37032,37271,37494,37712,37925,38134,38340,38546,38769,38995,39226,39462,39702,39948,40200,40448
BELLINGEN,12634,12673,12705,12672,12682,12716,12773,12787,12837,12891,12923,12909,12920,12929,12936,12951,12976,13006,13046,13152,13203,13183,13217,13253,13285,13322,13356,13388,13419,13449,13478,13505,13532,13557,13581,13604,13626,13647,13666,13685,13703
BERRIGAN,8075,8058,8035,8014,8076,8160,8204,8237,8282,8291,8297,8365,8436,8519,8568,8609,8638,8645,8649,8653,8615,8671,8750,8825,8894,8965,9033,9102,9169,9237,9303,9369,9435,9500,9565,9629,9693,9756,9819,9882,9944
BLACKTOWN,263103,267048,268806,271434,275206,278894,284925,292002,299450,306601,312346,317735,324797,331825,339449,348030,359591,369384,380186,391911,399925,407966,429836,442445,450524,458954,466813,474037,479253,484909,491239,497841,505230,512508,520367,528303,535993,543289,549974,556790,563350
BLAND,6603,6529,6453,6360,6263,6212,6178,6113,6101,6049,6021,6034,6028,6034,6027,6024,5936,5849,5755,5649,5544,5545,5554,5562,5569,5575,5581,5587,5593,5598,5604,5609,5614,5619,5624,5629,5633,5638,5642,5647,5651
BLAYNEY,6478,6545,6562,6598,6649,6741,6821,6900,7041,7143,7217,7274,7303,7322,7322,7343,7375,7406,7450,7484,7511,7509,7525,7543,7560,7578,7595,7611,7626,7641,7656,7669,7683,7696,7708,7720,7732,7743,7754,7764,7775
BLUE MOUNTAINS,76528,76656,76651,76436,75971,75600,76198,77102,77869,78227,78553,78532,78705,78867,78889,78835,78989,79107,79077,79031,78372,78438,78692,78876,78980,79198,79261,79292,79317,79338,79362,79386,79411,79436,79461,79486,79511,79536,79561,79590,79622
BOGAN,3156,3105,3052,3027,2964,2939,2972,2992,2999,3013,3009,2982,2926,2894,2846,2764,2708,2648,2602,2514,2480,2479,2476,2473,2470,2467,2464,2461,2458,2455,2453,2450,2448,2446,2444,2441,2439,2437,2435,2434,2432
BOURKE,3919,3781,3642,3494,3349,3185,3073,3046,3013,3033,3053,2998,2903,2870,2801,2762,2695,2600,2534,2483,2416,2415,2402,2387,2373,2357,2343,2330,2317,2304,2292,2280,2269,2258,2248,2238,2228,2218,2209,2200,2192
BREWARRINA,2148,2121,2078,2039,2029,2004,1961,1944,1900,1878,1874,1821,1830,1786,1762,1710,1683,1637,1591,1525,1487,1487,1479,1471,1463,1454,1446,1438,1431,1424,1417,1410,1404,1398,1392,1386,1380,1375,1370,1365,1360
BROKEN HILL,20929,20681,20403,20111,19915,19753,19708,19604,19421,19267,19151,18985,18802,18627,18360,18114,17994,17914,17801,17718,17662,17662,17669,17677,17683,17691,17698,17705,17711,17717,17723,17729,17734,17740,17745,17750,17755,17759,17764,17768,17773
BURWOOD,30393,30682,30980,31370,31696,32199,32893,33343,33708,33835,34176,35095,36145,37200,37822,38536,39275,39773,40333,40670,40440,41260,42222,43579,44268,45113,46179,47101,48703,49338,50155,51112,52017,52753,53389,53948,54499,55102,55988,56612,57314
BYRON,29453,29697,29952,30141,30130,30125,30174,30347,30537,30664,30712,31210,31756,32263,32803,33399,33944,34512,35054,35715,36106,35937,36223,36519,36777,37074,37343,37602,37851,38089,38319,38539,38750,38951,39144,39327,39502,39668,39825,39975,40118
CABONNE,12447,12478,12482,12506,12543,12634,12706,12799,12929,13071,13211,13322,13473,13506,13511,13577,13683,13729,13773,13814,13767,13770,13830,13895,13957,14023,14084,14144,14201,14256,14308,14359,14408,14455,14501,14545,14588,14629,14669,14707,14745
CAMDEN,45167,47176,48445,48929,49994,50632,52182,53739,55379,56848,58440,61128,64095,68645,74103,80268,88297,96023,104706,112451,120083,125213,137465,146018,150168,154044,158007,161425,163859,166459,169406,172997,176827,181846,187574,194106,201631,209700,218295,227810,237202
CAMPBELLTOWN,149188,149096,148739,147583,147216,146534,147155,148404,149984,150316,151172,152451,154346,156289,158586,161562,165143,168825,172286,175725,177778,179847,183965,187701,189548,191722,194337,196515,198755,201441,203987,206412,208672,210712,212901,214790,216633,218211,219839,221613,223342
CANADA BAY,61940,63077,64060,65350,66951,68309,70196,72320,75332,77709,80065,82636,85568,88565,90467,92534,92872,92765,92609,91833,89685,89916,90840,91209,92381,93394,93867,94826,95936,98400,100331,101733,103057,104123,105005,105748,106475,107301,108181,108653,109313
CANTERBURY-BANKSTOWN,307592,307011,306316,305670,307118,310578,316155,322404,327793,332118,335940,340387,345692,350922,356328,361862,367534,371891,375333,376638,372459,373647,377520,380921,383680,387484,389884,394263,398616,403861,409300,413781,417980,421932,425504,429011,432272,435607,438586,441349,444006
CARRATHOOL,3290,3246,3143,3054,2947,2863,2827,2784,2778,2732,2681,2668,2797,2800,2766,2793,2825,2864,2863,2892,2873,2877,2890,2902,2912,2922,2932,2941,2951,2959,2968,2976,2985,2993,3000,3008,3016,3023,3030,3037,3044
CENTRAL COAST,294596,297530,299319,299999,301403,303051,306499,312338,316796,320361,322657,325163,327745,330377,333264,336611,340140,343074,345695,347734,348493,349793,353051,356339,359445,362744,365934,369095,372222,375319,378395,381453,384494,387523,390540,393545,396538,399519,402488,405445,408390
CENTRAL DARLING,2432,2326,2218,2163,2096,2000,2003,2003,2029,2045,2059,2015,1979,1934,1923,1881,1845,1809,1799,1774,1758,1758,1754,1749,1745,1740,1735,1731,1727,1723,1719,1715,1712,1709,1705,1702,1699,1696,1693,1690,1688
CESSNOCK,46823,47024,47181,47266,47305,47426,48302,49303,50218,51304,52485,53318,54303,55103,55888,56720,57921,59649,60823,62431,64120,64684,66105,67535,68881,70305,71683,73048,74399,75736,77064,78385,79699,81007,82310,83607,84900,86187,87470,88747,90019
CITY OF PARRAMATTA,48247,48415,48509,48631,48853,49149,49524,49818,50433,50993,51287,51350,51443,51498,51547,51622,51953,52301,52604,52893,54212,54116,54278,54445,54591,54760,54912,55059,55200,55335,55466,55590,55710,55824,55933,56037,56136,56230,56319,56404,56485
CLARENCE VALLEY,4990,4984,4949,4913,4913,4941,4954,4887,4853,4844,4782,4759,4740,4727,4703,4687,4605,4528,4401,4213,4098,4101,4101,4101,4101,4101,4101,4101,4101,4101,4101,4101,4101,4101,4101,4101,4101,4101,4101,4101,4101
COBAR,62582,63553,64574,65448,65957,66657,67567,68574,69358,70373,70972,71564,72303,73016,73739,74670,75753,76887,77810,78409,78781,78520,78961,79421,79822,80288,80709,81115,81504,81877,82237,82582,82911,83227,83528,83816,84089,84349,84595,84830,85053
